annoaccademico,immatricolabile,corso_codice,corso_descrizione,url,campus,sededidattica,ambiti,tipologia,durata,internazionale,internazionale_titolo,internazionale_lingua,lingue,accesso
2019/2020,True,9225,Advanced cosmetic sciences,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9225,Rimini,Rimini,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9226,International politics and markets,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9226,Forlì,Forlì,Scienze politiche,Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,numero chiuso
2019/2020,True,9227,"Wellness culture: sport, health and tourism",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9227,Rimini,Rimini,Scienze motorie,Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9228,Progettazione e gestione dell'intervento educativo nel disagio sociale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9228,Bologna,Bologna,Scienze dell’educazione e della formazione,Laurea Magistrale,2,False,,,Italiano,numero chiuso
2019/2020,True,9229,Progettazione e gestione dell'intervento educativo nel disagio sociale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9229,Rimini,Rimini,Scienze dell’educazione e della formazione,Laurea Magistrale,2,False,,,Italiano,numero chiuso
2019/2020,True,9230,Consulente del lavoro e delle relazioni aziendali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9230,Bologna,Bologna,Giurisprudenza,Laurea,3,False,,,Italiano,libero accesso con verifica delle conoscenze
2019/2020,False,9231,Giurista per le imprese e per la pubblica amministrazione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9231,Ravenna,Ravenna,Giurisprudenza,Laurea,3,False,,,Italiano,libero accesso con verifica delle conoscenze
2019/2020,True,9232,Giurisprudenza,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9232,Bologna,Bologna,Giurisprudenza,Laurea Magistrale a ciclo unico,5,True,Titolo multiplo,,Italiano,libero accesso con verifica delle conoscenze
2019/2020,True,9233,Giurisprudenza,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9233,Ravenna,Ravenna,Giurisprudenza,Laurea Magistrale a ciclo unico,5,True,Titolo multiplo,,Italiano,libero accesso con verifica delle conoscenze
2019/2020,True,9234,Ingegneria aerospaziale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9234,Forlì,Forlì,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
